tracer_count,operator,status,repeat,best_wall_s,mean_wall_s,output_mode,omp_num_threads,reason
1,tpcore,completed,3,0.06651502,0.06737743,suppressed,1,
1,vdiff,completed,3,0.08186146,0.08572889,suppressed,1,
1,convection,completed,3,0.05237915,0.05416010,suppressed,1,
1,total_sum_of_stage_bests,completed,3,0.20075563,0.20726642,suppressed,1,
24,tpcore,completed,3,0.68907133,0.70683868,suppressed,1,
24,vdiff,completed,3,0.25093264,0.25969110,suppressed,1,
24,convection,completed,3,0.41831771,0.42742941,suppressed,1,
24,total_sum_of_stage_bests,completed,3,1.35832168,1.39395919,suppressed,1,
96,tpcore,completed,3,2.61663695,2.62144072,suppressed,1,
96,vdiff,completed,3,1.18355888,1.20179263,suppressed,1,
96,convection,completed,3,1.61689253,1.62149319,suppressed,1,
96,total_sum_of_stage_bests,completed,3,5.41708836,5.44472654,suppressed,1,
256,tpcore,completed,3,6.91266994,6.93108617,suppressed,1,
256,vdiff,completed,3,3.43130981,3.45035701,suppressed,1,
256,convection,completed,3,4.45410758,4.51075702,suppressed,1,
256,total_sum_of_stage_bests,completed,3,14.79808733,14.89220020,suppressed,1,
512,tpcore,completed,3,13.71439710,13.76099854,suppressed,1,
512,vdiff,completed,3,7.36403037,7.39935627,suppressed,1,
512,convection,completed,3,9.92924330,9.97048311,suppressed,1,
512,total_sum_of_stage_bests,completed,3,31.00767077,31.13083792,suppressed,1,
